iati_identifier,lat,long,code,level,vocabulary,name
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92001,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92025,12.238333,-1.561593,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92025,17.570692,-3.996166,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92025,21.00789,-10.940835,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92025,17.607789,8.081666,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92025,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92004,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92006,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92015,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92002,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92046,15.454166,18.732207,,,,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2021/92019,15.454166,18.732207,,,,
44000-P072030,13.8290,20.8320,,,,
44000-P072030,12.1070,15.0440,,,,
44000-P072030,8.5670,16.0830,,,,
44000-P072030,8.6500,16.8500,,,,
44000-P072030,9.1430,18.3920,,,,
44000-P090265,12.1170,15.0670,,,,
44000-P113030,11.0000,20.5000,,,,
44000-P113030,13.5000,21.2500,,,,
44000-P113030,15.0000,21.5000,,,,
44000-P113030,9.5000,16.5000,,,,
44000-P113030,9.3330,18.5000,,,,
44000-P113030,10.0000,15.8300,,,,
44000-P113030,8.2500,16.4200,,,,
44000-P113030,8.7530,15.8720,,,,
44000-P113030,13.5000,14.5000,,,,
44000-P113030,15.0000,15.0000,,,,
44000-P113030,11.5000,18.5000,,,,
44000-P113030,11.3400,16.2500,,,,
44000-P113030,14.0000,19.0000,,,,
44000-P113030,18.2500,18.5000,,,,
44000-P113030,12.6670,16.1670,,,,
44000-P113030,8.3290,17.9160,,,,
44000-P113030,9.3300,14.7500,,,,
44000-P113030,18.1670,22.1670,,,,
44000-P113030,20.3330,16.6670,,,,
44000-P113030,14.5270,16.9750,,,,
44000-P113030,12.1830,21.3500,,,,
44000-P126576,13.8290,20.8320,,,,
44000-P126576,12.8000,21.3000,,,,
44000-P126576,8.5710,17.2740,,,,
44000-P126576,9.1430,18.3920,,,,
44000-P126576,12.5470,19.7060,,,,
44000-P126576,13.2950,19.6970,,,,
44000-P126576,8.6910,18.5860,,,,
44000-P126576,10.1500,19.1480,,,,
44000-P126576,8.6810,17.6830,,,,
44000-P126576,8.4120,18.7710,,,,
44000-P126576,9.3130,17.7360,,,,
44000-P126576,12.3550,19.6140,,,,
44000-P126576,9.4510,18.9450,,,,
44000-P126576,10.3790,18.8810,,,,
44000-P126576,9.2650,18.3160,,,,
44000-P126576,9.7560,15.6040,,,,
44000-P126576,8.5400,17.5410,,,,
44000-P126576,8.5080,17.5250,,,,
44000-P126576,9.4890,19.0320,,,,
44000-P126576,9.7720,18.6930,,,,
44000-P126576,9.1330,18.3460,,,,
44000-P126576,9.7090,18.5000,,,,
44000-P126576,8.8110,17.5890,,,,
44000-P126576,9.6310,18.6200,,,,
44000-P126576,9.4830,19.2490,,,,
44000-P126576,8.3400,17.7660,,,,
44000-P126576,12.1840,18.6930,,,,
44000-P126576,8.8380,17.6710,,,,
44000-P126576,8.7280,17.8080,,,,
44000-P126576,8.8630,18.1670,,,,
44000-P126576,8.8330,18.4500,,,,
44000-P126576,9.8410,19.4730,,,,
44000-P126576,13.4670,22.2000,,,,
44000-P126576,11.0300,20.2830,,,,
44000-P126576,13.9500,20.5500,,,,
44000-P126576,9.9170,20.8000,,,,
44000-P126576,12.9330,21.4830,,,,
44000-P126576,8.4750,17.2740,,,,
44000-P126576,8.7970,17.2680,,,,
44000-P126576,8.6330,17.0830,,,,
44000-P126576,8.6290,17.1860,,,,
44000-P126576,8.7100,17.3880,,,,
44000-P126576,8.5170,18.4150,,,,
44000-P126576,8.4300,17.5720,,,,
44000-P126576,9.4690,18.3850,,,,
44000-P126576,8.6750,18.5840,,,,
44000-P126576,11.4480,19.2790,,,,
44000-P126576,9.7950,18.8810,,,,
44000-P132617,11.0000,20.5000,,,,
44000-P132617,13.5000,21.2500,,,,
44000-P132617,15.0000,21.5000,,,,
44000-P132617,9.5000,16.5000,,,,
44000-P132617,9.3330,18.5000,,,,
44000-P132617,10.0000,15.8300,,,,
44000-P132617,8.2500,16.4200,,,,
44000-P132617,8.7530,15.8720,,,,
44000-P132617,13.5000,14.5000,,,,
44000-P132617,15.0000,15.0000,,,,
44000-P132617,11.5000,18.5000,,,,
44000-P132617,11.3400,16.2500,,,,
44000-P132617,14.0000,19.0000,,,,
44000-P132617,14.5270,16.9750,,,,
44000-P132617,18.2500,18.5000,,,,
44000-P132617,12.6670,16.1670,,,,
44000-P132617,8.3290,17.9160,,,,
